,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Females ;,Monthly hours worked in all jobs ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Northern Territory ;,Monthly hours worked in all jobs ;  > Australian Capital Territory ;
Oct-2018,1749908.6,1755719.0,1039230.3,1042012.0,710678.4,713707.0,1455007.8,1460024.8,949847.1,952691.6,505160.7,507333.2,294900.8,295694.1,89383.2,89320.3,205517.7,206373.8,554858.7,555571.5,453959.4,455123.4,349208.8,349871.7,115379.1,116511.3,191165.2,192179.6,33943.1,34790.0,20192.2,31563.0
Nov-2018,1752128.6,1751418.6,1040143.4,1042003.1,711985.2,709415.5,1457360.3,1457375.1,950822.7,952654.2,506537.6,504720.9,294768.3,294043.5,89320.7,89348.9,205447.6,204694.6,555175.5,555899.7,455148.2,453092.1,350694.0,348296.0,115638.6,115664.9,191155.7,192909.3,33894.6,34019.5,20001.5,31467.1
Dec-2018,1755373.1,1748623.9,1041834.2,1036401.9,713539.0,712222.1,1460569.6,1450779.1,952435.6,943694.1,508134.0,507085.0,294803.6,297844.9,89398.6,92707.8,205405.0,205137.1,556313.3,549214.5,456029.8,454413.8,352383.7,353275.9,115931.4,115470.0,191274.4,190910.7,33821.3,33778.6,19874.1,31394.6
Jan-2019,1759433.7,1759393.5,1044047.7,1044216.2,715386.1,715177.3,1464223.0,1464042.8,954393.1,955021.3,509829.8,509021.5,295210.8,295350.7,89654.5,89194.9,205556.2,206155.8,558173.0,556559.4,456719.4,457410.4,353847.3,354867.6,116234.9,116035.7,191598.4,189570.6,33741.1,33914.6,19750.2,31412.1
Feb-2019,1763529.2,1764230.3,1046096.9,1045329.6,717432.3,718900.7,1467606.2,1466555.1,956083.7,955912.3,511522.5,510642.8,295923.0,297675.2,90013.2,89417.3,205909.8,208257.9,560476.3,558743.7,457038.9,459296.4,354817.3,355119.0,116542.6,116349.3,192210.0,190289.6,33675.3,33560.1,19601.2,31513.2
Mar-2019,1767076.5,1777077.2,1047508.0,1054552.0,719568.5,722525.2,1470212.1,1480590.6,957052.4,964200.3,513159.7,516390.3,296864.4,296486.6,90455.6,90351.6,206408.8,206134.9,562842.8,566118.8,456980.7,458212.0,355151.2,355788.5,116791.0,117276.1,193153.2,194704.1,33652.6,33565.7,19414.1,31661.9
Apr-2019,1769862.9,1772092.1,1048186.0,1048851.2,721676.8,723240.9,1471975.2,1474029.2,957253.2,956677.1,514722.0,517352.1,297887.7,298062.9,90932.9,92174.0,206954.8,205888.8,564779.3,566337.5,456787.4,454495.7,355037.5,353964.3,116934.0,117042.2,194205.6,195986.1,33676.0,33487.5,19222.6,31835.9
May-2019,1771782.3,1766763.4,1048126.3,1044773.1,723655.9,721990.3,1473034.4,1466081.7,956794.8,953813.9,516239.6,512267.8,298747.9,300681.7,91331.5,90959.2,207416.3,209722.5,566072.8,566509.3,456572.8,455929.1,354815.7,347873.1,116926.4,116803.9,195069.9,194901.1,33743.0,33838.5,19053.3,32015.7
Jun-2019,1772874.1,1769987.1,1047385.8,1046309.8,725488.3,723677.2,1473474.4,1470250.9,955801.7,954835.1,517672.7,515415.8,299399.7,299736.2,91584.1,91474.7,207815.6,208261.5,566617.8,562739.8,456573.8,457910.0,354810.0,352264.2,116725.2,117948.2,195497.5,192924.3,33833.0,34050.6,18933.7,32184.5
Jul-2019,1773889.0,1773978.5,1046507.3,1046968.8,727381.7,727009.7,1473908.2,1475987.3,954724.8,955265.9,519183.4,520721.4,299980.8,297991.2,91782.5,91702.9,208198.3,206288.3,566613.1,569563.1,457096.1,453723.3,355144.0,353781.1,116390.1,116011.2,195416.0,196466.1,33949.6,33988.3,18890.5,32329.2
Aug-2019,1775263.2,1778298.5,1046092.7,1048491.5,729170.5,729807.0,1474670.3,1475282.2,954009.6,953879.6,520660.7,521402.6,300592.9,303016.3,92083.2,94611.9,208509.8,208404.4,566363.2,565730.7,458010.7,460956.1,355621.7,355583.1,115994.0,116054.7,194976.4,195071.3,34089.4,34002.9,18936.7,32440.6
Sep-2019,1776760.9,1780268.8,1046196.3,1047037.1,730564.5,733231.7,1475450.4,1479391.6,953577.2,955261.0,521873.1,524130.6,301310.5,300877.3,92619.1,91776.1,208691.4,209101.2,566061.6,565897.8,458912.3,459167.7,356030.3,359328.9,115619.4,115594.8,194374.0,193773.5,34233.3,33783.3,19053.3,32555.6
Oct-2019,1777794.8,1774583.1,1046396.2,1044219.9,731398.6,730363.2,1475718.8,1473247.0,953087.5,952216.6,522631.3,521030.4,302076.0,301336.1,93308.7,92003.3,208767.3,209332.8,565783.3,565370.9,459509.4,457577.6,356164.4,355784.0,115354.2,113823.0,193789.0,195401.1,34382.3,34678.0,19218.1,32676.1
Nov-2019,1777533.2,1774983.1,1046084.6,1044236.3,731448.6,730746.8,1474765.5,1470544.7,952113.3,949739.0,522652.2,520805.6,302767.7,304438.4,93971.3,94497.3,208796.4,209941.2,565297.9,565671.9,459572.8,460371.3,355723.6,355076.1,115175.1,114847.0,193348.9,192127.2,34537.1,34607.5,19380.9,32800.5
Dec-2019,1775686.4,1783692.8,1044933.6,1047915.7,730752.8,735777.1,1472220.1,1479596.7,950413.0,951853.9,521807.1,527742.8,303466.3,304096.1,94520.6,96061.8,208945.7,208034.3,564636.9,564430.2,459053.2,463853.4,354777.7,360545.5,115052.4,114753.5,193266.8,192906.2,34680.3,34885.2,19485.8,32934.9
Jan-2020,1772489.7,1774190.5,1042762.6,1045838.9,729727.1,728351.6,1468210.8,1470769.7,947789.2,950691.3,520421.5,520078.3,304279.0,303420.8,94973.3,95147.6,209305.6,208273.2,563738.5,563686.7,458141.5,456495.2,353716.8,354754.2,114969.5,115165.7,193708.1,197038.3,34788.0,34536.7,19486.5,33081.5
Feb-2020,1769166.6,1772070.1,1040013.6,1041810.2,729152.9,730259.8,1463861.0,1467854.3,944655.9,946918.7,519205.1,520935.5,305305.5,304215.8,95357.7,94891.5,209947.8,209324.3,562565.8,563637.4,457243.3,457364.3,353277.3,353484.8,114871.4,115470.7,194668.4,194393.5,34861.1,34765.0,19352.9,33254.4
Mar-2020,1767805.2,1765459.6,1037867.9,1034183.8,729937.4,731275.7,1461237.4,1460370.2,942063.4,940012.7,519174.0,520357.5,306567.8,305089.3,95804.5,94171.1,210763.3,210918.3,561149.0,562680.0,456676.9,450680.3,353650.1,352072.5,114779.7,115083.6,195953.9,196641.9,34933.9,35161.9,19135.4,33485.2
Apr-2020,1597128.8,1588912.8,956407.8,952833.9,640721.0,636078.9,1365122.8,1358169.0,884271.3,882716.2,480851.5,475452.8,232006.0,230743.8,72136.5,70117.7,159869.5,160626.1,504123.7,502788.8,411649.4,408930.4,324357.0,319103.7,104302.4,103014.5,177371.4,172309.3,31040.3,31102.1,18898.4,33731.8
May-2020,1602003.0,1603900.5,957367.7,952185.0,644635.3,651715.4,1369055.7,1358101.9,884718.6,878820.3,484337.1,479281.7,232947.3,245798.5,72649.1,73364.7,160298.2,172433.8,504223.8,505385.4,411976.5,412586.9,325490.2,320244.3,104453.3,104777.3,178298.4,178606.3,31197.8,30967.3,18706.8,33967.7
Jun-2020,1666957.9,1666672.4,975599.9,980641.0,691357.9,686031.4,1375465.2,1385544.0,886332.0,894515.7,489133.2,491028.3,291492.7,281128.5,89267.9,86125.3,202224.7,195003.2,535544.4,531644.4,412915.5,428181.3,326861.1,328935.9,104868.3,107274.2,178981.3,186096.6,33628.6,32840.1,18597.6,34177.1
Jul-2020,1675061.2,1685951.8,978040.8,984923.6,697020.4,701028.2,1382653.5,1394751.8,888326.9,894891.1,494326.6,499860.7,292407.7,291200.0,89713.9,90032.5,202693.8,201167.5,539007.9,537172.4,414178.2,434974.0,328433.3,329836.5,111780.9,110798.9,192206.5,186588.8,33874.4,33897.2,18573.8,34368.9
Aug-2020,1682593.5,1690474.7,980131.0,985749.4,702462.5,704725.3,1389267.4,1397064.5,890170.3,894930.4,499097.0,502134.1,293326.2,293410.2,89960.7,90819.0,203365.5,202591.2,543444.6,543240.1,415584.7,413401.5,344320.9,339553.9,112737.8,113042.2,192939.9,192205.6,34153.4,35413.1,18602.6,34549.6
Sep-2020,1695225.1,1689481.2,987557.4,984399.3,707667.7,705081.8,1395064.3,1390280.9,891605.7,889620.6,503458.6,500660.3,300160.8,299200.2,95951.7,94778.7,204209.1,204421.6,547927.7,550050.8,416941.1,401844.0,346383.5,344633.5,113761.3,113960.8,193698.5,191275.1,34476.2,34519.1,18642.6,34690.9
Oct-2020,1734023.1,1725156.8,1021416.3,1013314.8,712606.8,711842.0,1433006.3,1422076.8,925382.4,917333.8,507624.0,504743.0,301016.8,303080.0,96033.9,95981.0,204982.9,207099.0,551829.7,549930.4,418190.8,420175.9,348637.8,358953.5,114692.0,115331.1,194441.5,192266.6,34834.7,34689.7,18668.0,34768.1
Nov-2020,1741167.8,1751657.5,1023731.1,1027101.6,717436.7,724555.9,1439502.0,1442136.1,927535.5,930783.0,511966.5,511353.1,301665.8,309521.4,96195.6,96318.6,205470.1,213202.8,554676.1,552838.2,445841.7,446985.4,350839.8,351553.9,115457.5,115069.3,195006.6,196924.5,35215.2,35110.1,18687.5,34772.5
Dec-2020,1749233.4,1750098.0,1027016.5,1025114.3,722216.9,724983.6,1447017.4,1443451.6,930481.4,928130.0,516536.0,515321.6,302216.0,306646.3,96535.1,96984.3,205680.9,209662.0,556353.7,552473.3,447230.2,443161.2,352667.8,353617.9,116066.4,116047.6,195336.5,195387.9,35591.8,35544.0,18736.6,34702.0
Jan-2021,1757668.1,1673748.2,1030903.3,983295.4,726764.9,690452.7,1454766.1,1370154.7,933881.8,886552.3,520884.4,483602.4,302902.0,303593.4,97021.5,96743.1,205880.5,206850.4,557324.9,513869.3,449026.0,429737.3,353880.1,339737.5,116533.2,110937.7,195568.5,194276.4,35932.5,34088.2,18826.4,34586.2
Feb-2021,1765466.0,1764680.3,1034703.3,1030970.2,730762.7,733710.1,1461647.3,1463737.0,937144.5,934350.2,524502.8,529386.8,303818.8,300943.3,97558.8,96620.0,206260.0,204323.3,558389.9,558906.3,451562.1,448631.8,369845.1,367870.2,116932.8,116348.4,195882.7,183517.7,36204.8,36317.7,18931.2,34439.8
Mar-2021,1771626.9,1802373.4,1037561.7,1044865.4,734065.2,757508.1,1466743.5,1480938.1,939595.6,943240.8,527147.9,537697.3,304883.4,321435.4,97966.1,101624.6,206917.3,219810.8,560005.6,562625.6,454913.2,456532.4,370406.8,371259.0,117366.3,117357.3,196509.7,204656.3,36390.9,36470.7,19001.8,34293.4
Apr-2021,1775901.0,1782055.1,1039500.6,1039575.6,736400.4,742479.5,1470141.4,1467350.2,941390.1,940166.5,528751.3,527183.7,305759.6,314704.9,98110.5,99409.1,207649.1,215295.8,562200.5,556401.7,458708.7,455708.2,370769.9,367781.9,117875.7,118049.6,197664.2,195789.1,36490.7,36458.4,19008.7,34148.1
May-2021,1778859.0,1809042.1,1040945.7,1051371.0,737913.4,757671.1,1472558.9,1492032.6,942917.9,952176.8,529641.0,539855.8,306300.1,317009.6,98027.8,99194.2,208272.3,217815.3,564675.2,563287.3,462189.3,464488.6,370792.1,373203.3,118475.3,118477.8,199287.5,199962.1,36533.8,36295.8,18975.3,33989.4
Jun-2021,1780788.8,1783356.7,1041916.0,1040625.4,738872.8,742731.3,1474363.6,1478800.4,944133.0,945334.9,530230.6,533465.4,306425.2,304556.3,97783.0,95290.4,208642.2,209265.9,566793.6,570608.9,464553.0,429590.2,370403.0,373096.4,119133.4,118741.0,200967.1,202015.5,36558.5,36656.2,18939.9,33780.5
Jul-2021,1771767.3,1782595.2,1031917.3,1041267.0,739850.0,741328.2,1475672.4,1484241.2,944672.0,949331.1,531000.4,534910.1,296094.9,298354.0,87245.3,91935.9,208849.6,206418.1,528312.3,534336.9,465544.3,467032.8,369693.6,370539.1,119799.9,119570.0,202429.6,201252.5,36574.6,36687.5,18946.7,33535.8
Aug-2021,1729669.6,1710597.4,1001626.3,998541.2,728043.3,712056.2,1446991.7,1427161.5,914397.9,911685.0,532593.8,515476.5,282677.9,283435.9,87228.3,86856.2,195449.6,196579.7,529183.3,498613.6,465644.1,454711.8,368983.5,342737.4,120420.7,120990.8,203589.5,204661.0,36588.5,36491.7,19013.1,33259.7
Sep-2021,1733699.6,1729319.9,1002499.1,1005743.8,731200.6,723576.1,1450311.7,1448105.0,915003.7,918654.9,535307.9,529450.2,283388.0,281214.8,87495.3,87088.9,195892.6,194125.9,529528.1,509144.9,465352.4,437723.8,368737.4,370055.1,120906.1,121081.1,204431.8,205438.5,36599.9,36547.5,19125.1,33016.2
Oct-2021,1739936.2,1728575.7,1004385.5,1001895.7,735550.7,726680.0,1455265.7,1440949.5,916324.8,912210.1,538940.9,528739.4,284670.5,287626.2,88060.7,89685.6,196609.8,197940.7,529779.4,529002.9,465274.3,417992.4,369218.4,369373.9,121205.8,120053.9,204997.7,203285.7,36600.3,36684.9,19228.6,32835.5
Nov-2021,1810557.2,1803771.6,1052222.6,1046403.9,758334.6,757367.7,1498281.8,1492545.8,954942.4,949074.8,543339.4,543471.0,312275.4,311225.8,97280.2,97329.1,214995.2,213896.7,563335.3,557562.2,465628.6,461477.3,370314.4,370446.7,121255.9,121276.7,205534.3,204295.0,36574.4,36549.1,19290.1,32727.4
Dec-2021,1819347.2,1824497.5,1056107.4,1058117.0,763239.9,766380.5,1505811.1,1509304.5,958008.7,959457.2,547802.4,549847.3,313536.1,315193.0,98098.7,98659.7,215437.5,216533.3,564668.2,567474.9,466323.7,468990.7,371991.4,370977.4,121047.2,121279.2,206235.7,207088.8,36515.6,36381.0,19312.5,32658.5
Jan-2022,1820974.6,1684903.4,1053855.5,985345.6,767119.1,699557.8,1513209.8,1396269.4,961645.4,894643.9,551564.5,501625.5,307764.7,288634.1,92210.1,90701.7,215554.6,197932.4,566872.3,499004.0,466853.5,413455.9,374017.0,361238.4,120719.0,113953.1,206975.8,210848.2,36425.9,34851.8,19320.8,32608.4
Feb-2022,1828141.2,1823751.7,1058262.2,1056041.5,769879.0,767710.2,1519670.4,1514668.9,965281.4,961750.0,554389.1,552918.9,308470.7,309082.8,92980.8,94291.5,215490.0,214791.3,569735.6,565830.0,467015.4,464358.1,376159.4,375787.5,120376.6,119009.7,207714.3,207121.8,36317.1,37557.6,19346.1,34444.1
Mar-2022,1834578.9,1813990.1,1062472.3,1046920.1,772106.6,767069.9,1525480.6,1503993.8,968715.3,951017.8,556765.3,552975.9,309098.3,309996.3,93757.0,95902.3,215341.3,214094.0,573013.5,559956.1,467025.3,468095.6,378322.7,367504.7,120135.2,120170.4,208344.2,208709.1,36237.6,36075.5,19402.2,34373.7
Apr-2022,1840967.1,1840772.9,1066540.6,1064855.3,774426.5,775917.6,1531311.5,1532857.4,971929.2,970684.0,559382.4,562173.4,309655.6,307915.5,94611.4,94171.3,215044.2,213744.3,576249.1,573576.9,467173.4,466697.9,380284.8,380086.7,120083.4,119705.9,208617.5,210377.7,36242.3,36113.9,19466.9,34296.5
May-2022,1847374.0,1851855.9,1070187.8,1071346.7,777186.2,780509.1,1537119.6,1547374.6,974641.6,977799.3,562478.1,569575.3,310254.4,304481.2,95546.3,93547.4,214708.1,210933.8,579335.3,582021.4,467890.0,465915.0,381756.8,385773.8,120288.3,120138.6,208608.7,207709.9,36363.6,36833.7,19496.2,34270.1
Jun-2022,1854157.1,1858067.7,1073930.3,1075898.3,780226.8,782169.4,1543338.4,1545966.4,977418.5,979950.7,565919.9,566015.7,310818.7,312101.2,96511.8,95947.6,214306.9,216153.7,582259.8,585927.5,469512.6,469106.9,382869.1,383168.2,120737.4,121579.8,208590.1,207684.7,36595.4,36518.8,19486.4,34316.5
Jul-2022,1861168.0,1853841.1,1077871.1,1071255.1,783296.9,782586.0,1549865.2,1537729.1,980474.7,974168.4,569390.5,563560.7,311302.8,316112.0,97396.4,97086.7,213906.4,219025.3,585081.6,582312.2,471792.0,472841.2,383581.0,378396.9,121315.6,120132.1,208755.0,210357.5,36901.9,36381.1,19470.1,34463.7
Aug-2022,1867888.3,1867894.9,1081994.7,1083444.5,785893.6,784450.5,1556418.2,1557069.2,983938.0,984811.4,572480.3,572257.8,311470.1,310825.8,98056.8,98633.0,213413.3,212192.7,587682.0,586557.4,474216.3,475170.9,383869.2,384125.8,121920.3,122742.5,209181.9,207405.3,37221.7,37373.3,19456.2,34692.3
Sep-2022,1874361.5,1867950.4,1086171.5,1082087.8,788190.1,785862.6,1563000.0,1555720.6,987729.6,982705.8,575270.4,573014.8,311361.6,312229.8,98441.9,99382.0,212919.7,212847.7,590287.4,588388.9,476308.3,474197.8,383763.1,382530.2,122495.1,122532.7,209925.8,208753.4,37486.8,37519.7,19447.2,34977.0
Oct-2022,1880954.1,1911721.8,1090208.2,1107364.0,790745.9,804357.8,1569776.3,1601717.7,991756.4,1008989.5,578019.9,592728.2,311177.8,310004.1,98451.8,98374.5,212726.0,211629.5,593059.1,606523.9,478125.7,481545.0,383652.5,391536.2,123094.2,126461.5,210858.0,212981.6,37674.8,37759.7,19454.5,35260.3
Nov-2022,1887573.6,1904062.3,1093792.0,1104467.2,793781.6,799595.0,1576382.6,1588601.1,995571.1,1005993.0,580811.5,582608.1,311191.0,315461.2,98220.9,98474.2,212970.1,216986.9,595642.3,603862.5,479702.8,487859.3,383851.4,384993.1,123709.4,121885.8,211779.0,212002.4,37791.2,38416.4,19472.2,35515.9
Dec-2022,1893983.9,1886849.4,1096791.2,1094979.7,797192.7,791869.7,1582599.1,1579557.1,998901.0,997978.8,583698.1,581578.3,311384.9,307292.2,97890.2,97000.9,213494.6,210291.4,597673.9,598721.9,481267.0,478863.5,384392.2,379768.7,124310.6,123841.2,212582.9,211935.2,37860.1,37884.3,19500.8,35724.8
Jan-2023,1899823.8,1846921.4,1099128.4,1067456.0,800695.3,779465.4,1588127.1,1536842.4,1001549.1,969823.3,586578.0,567019.1,311696.6,310079.0,97579.4,97632.7,214117.3,212446.3,598788.9,578652.3,483020.0,462800.6,385227.6,379519.7,124829.5,122676.1,213326.9,213413.5,37913.5,36859.8,19543.6,35894.0
Feb-2023,1905045.6,1917405.5,1100905.4,1109029.2,804140.2,808376.3,1592935.2,1603461.9,1003621.0,1011114.0,589314.2,592347.9,312110.4,313943.6,97284.4,97915.2,214826.0,216028.4,599100.1,600736.4,484949.9,491290.3,386379.0,386548.4,125205.6,125360.0,214034.7,219394.7,37971.9,37279.8,19597.0,36029.9
Mar-2023,1909804.1,1914191.1,1102417.7,1101252.3,807386.4,812938.7,1597275.9,1600644.8,1005416.4,1004577.4,591859.5,596067.4,312528.2,313546.3,97001.3,96674.9,215526.9,216871.3,599065.0,597801.8,486917.0,491122.6,387715.6,390194.9,125437.5,126173.3,214730.3,214097.5,38039.1,38725.0,19675.5,36160.6
